0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
43650,443,6,19,0,9.490930332077873,9.490930332077873,21.200015046998015,21.200015046998015,8.296966552734375e-05,8.296966552734375e-05,58.12671399116516,58.12671399116516,0,0,185.21052631578948,0,423.67969268594857,0,66,0,1979,0,3519,0,0,0,0,0,0,0,0
443,53400,17,47,0,0.94438301998636,0.94438301998636,2.440968620433063,2.440968620433063,0.0,0.0,10.53558897972107,10.53558897972107,0,0,532.0212765957447,0,476.57606342341364,0,68,0,1294,0,25005,0,0,0,0,0,0,0,0
443,43650,6,17,0,10.675652876496315,10.675652876496315,22.2184964072504,22.2184964072504,0.0,0.0,58.194496154785156,58.194496154785156,0,0,744.7647058823529,0,1022.224939526335,0,66,0,2866,0,12661,0,0,0,0,0,0,0,0
43654,443,6,26,0,6.830828123092651,6.830828123092651,18.443420244522027,18.443420244522027,8.797645568847656e-05,8.797645568847656e-05,58.97089886665344,58.97089886665344,0,0,125.57692307692308,0,148.92671741418096,0,66,0,746,0,3265,0,0,0,0,0,0,0,0
443,43654,6,23,0,7.761083862998269,7.761083862998269,19.540678226223196,19.540678226223196,0.0,0.0,59.34275984764099,59.34275984764099,0,0,541.8695652173913,0,849.620237638063,0,66,0,2866,0,12463,0,0,0,0,0,0,0,0
45208,53,17,2,0,1.9073486328125e-06,1.9073486328125e-06,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0,0,75.0,0,0.0,0,75,0,75,0,150,0,0,0,0,0,0,0,0
53,45208,17,2,0,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0,0,112.0,0,6.0,0,106,0,118,0,224,0,0,0,0,0,0,0,0
34746,443,17,6,0,0.1036463737487793,0.1036463737487793,0.07765953692556758,0.07765953692556758,0.00016689300537109375,0.00016689300537109375,0.24136805534362793,0.24136805534362793,0,0,1294.0,0,0.0,0,1294,0,1294,0,7764,0,0,0,0,0,0,0,0
443,34746,17,7,0,0.16046082973480225,0.16046082973480225,0.17142133113461414,0.17142133113461414,0.008022069931030273,0.008022069931030273,0.5014748573303223,0.5014748573303223,0,0,931.8571428571429,0,345.72798083854,0,85,0,1073,0,6523,0,0,0,0,0,0,0,0
41234,443,6,18,0,10.048041357713586,10.048041357713586,21.636856229541564,21.636856229541564,0.00014519691467285156,0.00014519691467285156,58.76236891746521,58.76236891746521,0,0,192.38888888888889,0,430.9363369956285,0,66,0,1966,0,3463,0,0,0,0,0,0,0,0
443,41234,6,14,0,13.137853384017944,13.137853384017944,23.99614173332557,23.99614173332557,9.5367431640625e-07,9.5367431640625e-07,58.83725905418396,58.83725905418396,0,0,670.2857142857143,0,1049.6473849122196,0,66,0,2866,0,9384,0,0,0,0,0,0,0,0
41240,443,6,54,0,4.076636152447395,4.076636152447395,13.302844888030938,13.302844888030938,7.605552673339844e-05,7.605552673339844e-05,58.988553047180176,58.988553047180176,0,0,242.16666666666666,0,305.3476919234251,0,66,0,954,0,13077,0,0,0,0,0,0,0,0
443,41240,6,65,0,3.3755510933697224,3.3755510933697224,12.210418625404511,12.210418625404511,0.0,0.0,59.02397084236145,59.02397084236145,0,0,224.92307692307693,0,432.59390470802117,0,66,0,2866,0,14620,0,0,0,0,0,0,0,0
43108,53,17,2,0,0.0003159046173095703,0.0003159046173095703,0.0,0.0,0.0003159046173095703,0.0003159046173095703,0.0003159046173095703,0.0003159046173095703,0,0,71.0,0,0.0,0,71,0,71,0,142,0,0,0,0,0,0,0,0
53,43108,17,2,0,0.0252377986907959,0.0252377986907959,0.0,0.0,0.0252377986907959,0.0252377986907959,0.0252377986907959,0.0252377986907959,0,0,104.0,0,6.0,0,98,0,110,0,208,0,0,0,0,0,0,0,0
32918,443,6,18,0,10.040600650450763,10.040600650450763,21.681047658026166,21.681047658026166,0.0001049041748046875,0.0001049041748046875,59.04092502593994,59.04092502593994,0,0,190.0,0,430.55339067556093,0,66,0,1962,0,3420,0,0,0,0,0,0,0,0
32932,443,6,13,0,0.010765333970387777,0.010765333970387777,0.012297519085477418,0.012297519085477418,9.703636169433594e-05,9.703636169433594e-05,0.030512094497680664,0.030512094497680664,0,0,227.6153846153846,0,501.6801829025737,0,66,0,1962,0,2959,0,0,0,0,0,0,0,0
33918,53,17,2,0,0.0012118816375732422,0.0012118816375732422,0.0,0.0,0.0012118816375732422,0.0012118816375732422,0.0012118816375732422,0.0012118816375732422,0,0,75.0,0,0.0,0,75,0,75,0,150,0,0,0,0,0,0,0,0
53,33918,17,2,0,0.02248406410217285,0.02248406410217285,0.0,0.0,0.02248406410217285,0.02248406410217285,0.02248406410217285,0.02248406410217285,0,0,334.0,0,72.0,0,262,0,406,0,668,0,0,0,0,0,0,0,0
443,32918,6,15,0,12.190318925040108,12.190318925040108,23.35488954179626,23.35488954179626,0.0,0.0,59.036696910858154,59.036696910858154,0,0,630.0,0,957.8953317908313,0,66,0,2866,0,9450,0,0,0,0,0,0,0,0
443,32932,6,9,0,0.012898504734039307,0.012898504734039307,0.01564745122907133,0.01564745122907133,0.0,0.0,0.0378420352935791,0.0378420352935791,0,0,997.2222222222222,0,989.1100127306116,0,66,0,2866,0,8975,0,0,0,0,0,0,0,0
51424,443,6,13,0,0.010347346464792887,0.010347346464792887,0.01229813135807319,0.01229813135807319,0.00011682510375976562,0.00011682510375976562,0.030041217803955078,0.030041217803955078,0,0,227.92307692307693,0,502.7439264887263,0,66,0,1966,0,2963,0,0,0,0,0,0,0,0
51438,443,6,46,0,0.011653598149617512,0.011653598149617512,0.03276062612794661,0.03276062612794661,7.295608520507812e-05,7.295608520507812e-05,0.16325783729553223,0.16325783729553223,0,0,130.1086956521739,0,297.17168425740977,0,66,0,1966,0,5985,0,0,0,0,0,0,0,0
443,51438,6,49,0,0.010377357403437296,0.010377357403437296,0.03325105135666935,0.03325105135666935,0.0,0.0,0.16799497604370117,0.16799497604370117,0,0,1844.6530612244899,0,1144.0589850467236,0,66,0,2866,0,90388,0,0,0,0,0,0,0,0
443,51424,6,9,0,0.012181133031845093,0.012181133031845093,0.014878528550383923,0.014878528550383923,0.0,0.0,0.035392045974731445,0.035392045974731445,0,0,997.3333333333334,0,1091.6559287003697,0,66,0,2866,0,8976,0,0,0,0,0,0,0,0
50517,443,17,59,0,0.21131513858663625,0.21131513858663625,0.851008830620743,0.851008830620743,9.5367431640625e-07,9.5367431640625e-07,6.37630295753479,6.37630295753479,0,0,373.50847457627117,0,463.5829281629273,0,71,0,1294,0,22037,0,0,0,0,0,0,0,0
443,50517,17,82,0,0.2842931600264561,0.2842931600264561,1.156472478609787,1.156472478609787,0.0,0.0,9.100929975509644,9.100929975509644,0,0,513.219512195122,0,524.0887567818335,0,66,0,1294,0,42084,0,0,0,0,0,0,0,0
42410,53,17,2,0,0.0004038810729980469,0.0004038810729980469,0.0,0.0,0.0004038810729980469,0.0004038810729980469,0.0004038810729980469,0.0004038810729980469,0,0,71.0,0,0.0,0,71,0,71,0,142,0,0,0,0,0,0,0,0
53,42410,17,2,0,0.027133941650390625,0.027133941650390625,0.0,0.0,0.027133941650390625,0.027133941650390625,0.027133941650390625,0.027133941650390625,0,0,226.0,0,32.0,0,194,0,258,0,452,0,0,0,0,0,0,0,0
45675,443,17,4,0,0.08208266894022624,0.08208266894022624,0.11179698865231935,0.11179698865231935,0.0007810592651367188,0.0007810592651367188,0.24016594886779785,0.24016594886779785,0,0,1294.0,0,0.0,0,1294,0,1294,0,5176,0,0,0,0,0,0,0,0
55494,53,17,2,0,0.0001850128173828125,0.0001850128173828125,0.0,0.0,0.0001850128173828125,0.0001850128173828125,0.0001850128173828125,0.0001850128173828125,0,0,80.0,0,0.0,0,80,0,80,0,160,0,0,0,0,0,0,0,0
53,55494,17,2,0,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0,0,122.0,0,6.0,0,116,0,128,0,244,0,0,0,0,0,0,0,0
38306,443,17,8,0,0.02569113458905901,0.02569113458905901,0.024611517886618323,0.024611517886618323,0.00017714500427246094,0.00017714500427246094,0.07509613037109375,0.07509613037109375,0,0,556.875,0,571.6525250315965,0,73,0,1294,0,4455,0,0,0,0,0,0,0,0
39266,443,6,17,0,10.69543807208538,10.69543807208538,22.193878928910426,22.193878928910426,7.581710815429688e-05,7.581710815429688e-05,58.255966901779175,58.255966901779175,0,0,197.2941176470588,0,441.95365270791524,0,66,0,1962,0,3354,0,0,0,0,0,0,0,0
